Company Name,Laptop Name,RAM (GB),Storage Type,Storage Size (GB),Processor Company,Processor Details,Graphics Card (GB),GPU Details,Weight (kg),Screen Size (inches),OS,Laptop Type,Price (INR),,,,,,,,,,,,,
HP,250 G7,4,SSD,512,Intel,10th Gen i3,Integrated,Intel UHD Graphics,1.78,15.6,Windows,Notebook,40490,,,,,,,,,,,,,
HP,15 15s du2009tu,4,HDD,1024,Intel,10th Gen i3,Integrated,Intel UHD Graphics,1.75,15.6,Windows,Notebook,37490,,,,,,,,,,,,,
ASUS,VivoBook Ultra K 14,8,SSD,512,Intel,10th Gen i5,Integrated,Intel UHD Graphics,1.4,14,Windows,Notebook,63990,,,,,,,,,,,,,
HP,Pavilion 14 ce3065tu,8,SSD+HDD,256+1024,Intel,10th Gen i5,Integrated,Intel UHD Graphics,1.59,14,Windows,Notebook,60490,,,,,,,,,,,,,
HP,15s gr0007,4,HDD,1024,AMD,Ryzen 3 3250U,Integrated,AMD Radeon,1.74,15.6,Windows,Notebook,36999,,,,,,,,,,,,,
Dell,Inspiron 7380,8,SSD,512,Intel,8th Gen i5,Integrated,Intel UHD Graphics,1.33,13.3,Windows,Notebook,71990,,,,,,,,,,,,,
Dell,Inspiron 5482,8,SSD,512,Intel,8th Gen i5,2,NVIDIA GeForce MX 130,2.73,14,Windows,Notebook,78214,,,,,,,,,,,,,
Dell,Inspiron 3493,8,HDD,1024,Intel,10th Gen i5,Integrated,Intel UHD Graphics,1.7,14,Windows,Notebook,34939,,,,,,,,,,,,,
Dell,Inspiron 3593,8,SSD+HDD,256+1024,Intel,10th Gen i5,2,NVIDIA GeForce MX 230,2.2,15.6,Windows,Notebook,66899,,,,,,,,,,,,,
Dell,Latitude 5300,8,SSD,256,Intel,8th Gen i5,Integrated,Intel UHD Graphics,1.24,13.3,Windows,Notebook,87499,,,,,,,,,,,,,
Dell,Latitude 3400,8,SSD,512,Intel,8th Gen i5,Integrated,Intel UHD Graphics,1.67,14,Windows,Notebook,77500,,,,,,,,,,,,,
Dell,Latitude 3401,16,HDD,1024,Intel,8th Gen i7,2,NVIDIA GeForce MX 130,1.67,14,Windows,Notebook,94810,,,,,,,,,,,,,
Dell,Latitude 5591,8,SSD+HDD,256+1024,Intel,8th Gen i5,2,NVIDIA GeForce MX 130,1.93,15.6,Windows,Notebook,99000,,,,,,,,,,,,,
